,text
0,"RT @sa_vadorr: هناك فتيات يتعرضن للضرب والاضطهاد في منازلهن، ولا يستطيعون رفع الهاتف والاتصال على الشرطة لمعرفتهن ويقينهن ان ""الشرطة"" دائما…"
1,RT @sa_vadorr: طبعا قناة الجزيرة حاليا على وضع القردة الثلاثة، لا أرى لا أسمع لا أتكلم، الا اذا الموضوع متعلق بهروب فتاة سعودية.
2,"RT @sa_vadorr: يا عيني!، الجديد الان انه عندما تسافر قطرية حتى مع ""تصريح سفر"" من ولي الامر، يطلبون منها الاتصال بأخوها أو ابوها لأثبات انها…"
3,"@sa_vadorr 100% right, I covered not knowing it was my choice. I don’t practice anymore, but I still totally believe hijab is a personal choice and shouldn’t be forced on anyone."
4,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
5,"@sa_vadorr كمية طاقه سلبيه في ويهج وكلامج..مسكينه انتي وايد والي صج مسكينه امج الله يكون بعونها .. في يوم من الايام وفي المستقبل راح تدركين شنو خسرتي.. الله لايبلاني في اهلي وذريتي واحبتي🌸 الحمدلله الذي عافانا مما ابتلا به كثيرا من خلقه وفضلنا عليهم تفضيلا.
بلوك ماتحمل الكأبه الي تنقلينها"
6,@sa_vadorr @alotaibi_noora تحملي بيصيدج بو وجهه وجنتاج ببلفحها الهوا ومحد بنافعج
7,@sa_vadorr كذب من قال إن التعري يزيد المرأة جمالا https://t.co/2njdtL1FOO
8,@sa_vadorr الله لا يبلانا بس ويسترنا فالدنيا والاخرة
9,RT @sa_vadorr: اما الان فأستطيع ان اكون صوت للواتي يردن ان يشاركن ما تعرضوا له من تحييز جنسي من قبل القوانين التي تتمايز بناء على جنس الموا…
10,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
11,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
12,@sa_vadorr (يَا أَيُّهَا النَّبِيُّ قُل لِّأَزْوَاجِكَ وَبَنَاتِكَ وَنِسَاءِ الْمُؤْمِنِينَ يُدْنِينَ عَلَيْهِنَّ مِن جَلَابِيبِهِنَّ ۚ ذَٰلِكَ أَدْنَىٰ أَن يُعْرَفْنَ فَلَا يُؤْذَيْنَ ۗ وَكَانَ اللَّهُ غَفُورًا رَّحِيمًا)
13,@sa_vadorr ذهب الإمام الشافعيّ في الصّحيح عنده والإمام أحمد وأصحابه أنّ تغطية وجه المرأة وكفّيها واجبٌ شرعاً؛ على إطلاق ذلك الوجوب لكل النساء دون تحديد، ودليل أصحاب هذا الرأي ما جاء في قول الله تعالى من سورة الأحزاب حيث خاطب الله النبي -صلى الله عليه وسلم- آمراً نساء المؤمنين قائلاً:
14,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
15,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
16,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
17,@sa_vadorr هل يعجبج هذا المنظر ضحكو عليكم وقالو الحرية تعيش المرأة في شارع هل الحرية بنطلون وقص الشعر صج التخلف بعينة وين دين الله  وين الحشمة والخوف من الله خسرتي أسرتك ودينك وولدتك لأن الابو مات من سنين الله حابة من هروب بنتة المدلالة
18,@sa_vadorr أشهد انك صادقة
19,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
20,@sa_vadorr @de_gfr انا سعودي وأكره حكومه قطر لكن أسألك ،هل اللي تسوينه هل هو يوافق القران والسنه؟
21,@sa_vadorr هههههه ضحكتني قحطانية قطرية طيب قولي احمل الجنسية القطرية وماني ببعيد من هند القحطاني الله يخسكم وياخذكم ويفكنا من هذي العينات الممسوخة المنحلة
22,RT @sa_vadorr: كل صباح اغسل وجهي، واسرح شعري بأصابع يدي، وارتدي طبقات عديدة من الثياب، واخرج بكل بساطة، مثل هذا الأمر كان يعد مستحيلا سابقا…
23,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
24,RT @sa_vadorr: اما الان فأستطيع ان اكون صوت للواتي يردن ان يشاركن ما تعرضوا له من تحييز جنسي من قبل القوانين التي تتمايز بناء على جنس الموا…
25,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
26,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
27,@sa_vadorr @noofalmaadeed https://t.co/ktd3gI40AJ
28,@sa_vadorr ياعزتي لك حسبنا الله ونعم الوكيل ع من غرر بدينك وفكرك الله يلطف بحالك وحال امك وأهلك واحبابك اتعبتيهم ذبحتهم وهم أحياء  الله يلسط ع  من ساعدك وغرر بك عذاب الهون في الدنيا والآخرة
29,@sa_vadorr عايشه حماك الله وردك رد جميل لدينك وطنك  وأهلك  دعي الخلق للخالق ولا لك شغل بأحد سواء معنفه او منعمه اهتمي بنفسك ودينك ومستقبلك في الاخره قبل الدنيا  لا يغرنك خطوات شياطين الإنس حولك ومطبلين فحضن الأم والوطن لا يقدر بثمن
30,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
31,@sa_vadorr @darwinnededi You have attached the flag of your country that restricts your freedom to your nick name. We must say no to the exploiting powers
32,"@sa_vadorr كم هـي مريحـة هـذه اﻵية :

 ""فَمَا ظَنُّكُم بِرَبِّ الْعَالَمِينَ""

 اللهم إنا نظن بك غفرانًا ، وعفوًا ، ومعافاةً ، وسِـترًا ، وتوبةً ، وهدايةً ، ونصرًا ، وسعادةً ، وثباتًا ، ورزقًا ، وتوفيقًا ، وفرجًا قريبًا، وحُسْن خاتمة"
33,"@sa_vadorr لن تتعرّف على ربوبية الله، والوهيته، وأسمائه، وصفاته، وعظمته، وحكمته في شرعه، وبديع صُنعه،
وعصمة نبيه صلى الله عليه وسلّم وطُهره، وعدله، ورحمته،
حتى تقرأ القرآن قراءة مُؤمن به، مُتدبّراً له،
يعتقد أن سر سعادته في هذا الكتاب العظيم،
جعل الله القرآن العظيم ربيع قلوبنا."
34,"@sa_vadorr بر الوالدين ...
أولى الواجبات وأول المروءات ومنتهى الفضائل ، باب التوفيق وحزمة المكارم ، كل خير بدونها مزيف ، وكل سماحة لم تسمح بها ادعاء"
35,@sa_vadorr @wafa_alkhalifi مجرد كلام جميل مهذب من سيدة محترمة اخرج كل القبح الذي داخل نفسك المريضة هل هذه هي الحرية اللعينة .
36,"RT @sa_vadorr: I spent years and years covered up, and felt disconnected from who I am as a person, it was the ultimate symbol of repressio…"
37,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
38,RT @sa_vadorr: كنت أقرأ هذا الكتاب وأشعر بإنتقاد الرأسماليين خصوصا بعد رفضهم ل Jeremy Corbyn في بريطانيا، يعيش ماركس😏. https://t.co/GT1gRqS…
39,@sa_vadorr ليش تتكلمين عن قطر  تكلميي فقط عن ذاتج قطر فيها كل لحريات لى يبي المسجد يدلة وطرق كلها إمامة الحق وضح فية يوم لا بد الإنسان يراجع نفسة
40,@sa_vadorr في هذا الكلام انتي كذابة القطرية تحب الستر ودين اللة  وتحب الوطن وتحب الاستقرار في بيت دافئ أسرة والأهل والولدة لى تربي على السعادة ابناها  ضعتي وضيعتي نفسك
41,@sa_vadorr خسارت تربية  كرهتي البشر في بناتهم حسافة على أهل دين كيف يطلع أحد مثلج  بيتكم نظيف وانتي تربيتي على نظافة وثقافة وكنتي طفلة جميلة يا فلانة ولا حد الآن ونتي سنعة ليش سويتي كذا  بتنادمين في حين الندم ما يفيد
42,RT @sa_vadorr: يجب ان يعي الجميع بكمية الحقوق المسلوبة من المرأة القطرية، وانها ما زالت تعامل كقاصر تابعة قانونيا لذويها، واجتماعيا تعاني م…
43,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
44,@sa_vadorr @lowkeyinfamous احسنتي
45,RT @sa_vadorr: فبدلا من الاستمرار بوضع قوانين تحد من حرية الرأي، يجب إعادة النظر لوضع النساء في قطر، والتفاوض مع من يرون ان هناك فائدة من ا…
46,RT @sa_vadorr: سلڤادور هي عائشة القحطاني، قطرية، محبة لوطني، ولكن أمضيت ٢٢ سنة تحت القوانين القامعة للمرأة في قطر، والتي تعطي كل التفويض لذ…
